"RelativePath","Size","SHA256","FullPathToDelete"
"src\agents\builtin\README.md","9274","E21257F529C48A20048EA8C64FE4E502CE38A8F813565FC1D7BB85959D506F0C","D:\Jianguoyun\Agent os\src\agents\builtin\README.md"
"src\agents\builtin\__init__.py","335","C5221298A25F806E6B04CC0F17A26C09501F59CD5394FA8A7596749C13EFC66C","D:\Jianguoyun\Agent os\src\agents\builtin\__init__.py"
"src\agents\coordinators\__init__.py","1096","D96C86376018C43616371A120E3D870A2D42951544E8A1CB6448F1B890751B8C","D:\Jianguoyun\Agent os\src\agents\coordinators\__init__.py"
"src\agents\lifecycle\__init__.py","275","03DC498A2ECE1175C9A33E2189453C5A4C47DD0CE47E3BE07D9123A0AB79692A","D:\Jianguoyun\Agent os\src\agents\lifecycle\__init__.py"
"src\agents\utils\__init__.py","178","09274C075850CA0373E4B5CB3B5DE235C8BF9C123DC9D25B17880260523ECBA8","D:\Jianguoyun\Agent os\src\agents\utils\__init__.py"
"src\api\websocket\__init__.py","4444","24AA6D46EB626385C314FAE1DDADBC4F90575BB2E2E6029C6BE5E64146CE0EC5","D:\Jianguoyun\Agent os\src\api\websocket\__init__.py"
"src\api\websocket\handlers\__init__.py","686","9170C3E1024568E6E07B7264A4250E34386A0F0E95585F36A8919F8C2024A0C4","D:\Jianguoyun\Agent os\src\api\websocket\handlers\__init__.py"
"src\auth\__init__.py","1876","3EFF9FE3F99F695B25B08285D18879EB6F7E3A0AD8597D4CB2FB79F23FC22CC3","D:\Jianguoyun\Agent os\src\auth\__init__.py"
"src\cache\__init__.py","541","AD81C73C51B6AA95604F7C3E51146808FC067143FB660F0D8718358F0B659605","D:\Jianguoyun\Agent os\src\cache\__init__.py"
"src\core\errors.py","27579","8AF670B5C40848D0C160E49E771B14EA86271BCBE37771CBF89790350F2C54EB","D:\Jianguoyun\Agent os\src\core\errors.py"
"src\core\runnable.py","18392","4D24B775A9BA6C289EBB00FB2E2752D11A09F71EF3DB0DAE7BAC8E70953972D4","D:\Jianguoyun\Agent os\src\core\runnable.py"
"src\core\di\__init__.py","1133","AD6B341194318CE43FD151B7169F2A90FC4E3E77102AD550DB8E785C27D8F393","D:\Jianguoyun\Agent os\src\core\di\__init__.py"
"src\core\results\tool_call.py","920","82AF52FD920434840F5238151E7111244E8CC708BCAEB777660556A08A73F6A6","D:\Jianguoyun\Agent os\src\core\results\tool_call.py"
"src\core\states\base.py","2736","E6269B53B3C633954FDCD05C3461AEA0C88533731724001FD2E86D04F13D5454","D:\Jianguoyun\Agent os\src\core\states\base.py"
"src\core\states\events.py","2383","C6E79B2B744CE9746E2734ABA4D5F096FE8809E9FB96F7F1349B1A81F1F72881","D:\Jianguoyun\Agent os\src\core\states\events.py"
"src\core\states\lifecycle.py","3074","F4BF91C53BC3F35F9171F7D53AD1AF19D41391457319B6C69DD50083A8CF00EE","D:\Jianguoyun\Agent os\src\core\states\lifecycle.py"
"src\cost_control\__init__.py","529","0383F040825630F96528F04F6D8474DA543A17228C5D244354ED3D92C9792F9A","D:\Jianguoyun\Agent os\src\cost_control\__init__.py"
"src\db\migrations\manager.py","10776","8CA4ED53404911E80C74D17B4208615D485E0B0A97B20F82BA8123C7C94B033E","D:\Jianguoyun\Agent os\src\db\migrations\manager.py"
"src\db\migrations\runner.py","3395","842DD170713DE0A24B637B7CD18F90E03666EA18F64D4AC16641883EFCE08094","D:\Jianguoyun\Agent os\src\db\migrations\runner.py"
